circuit Id,circuit Name,comments,fia,Source Is.D,Source Is.D Type,substation
192021121,ARCATA 1121,,100,716954,DPD,ARCATA
192021122,ARCATA 1122,,100,5384,DPD,ARCATA
192021122,ARCATA 1122,,100,110996,DPD,ARCATA
192291121,CARLOTTA 1121,,100,,Breaker,CARLOTTA
192381102,EEL RIVER 1102,,100,1902,DPD,EEL RIVER
192381102,EEL RIVER 1102,,100,630456,DPD,EEL RIVER
192381102,EEL RIVER 1102,,100,720639,DPD,EEL RIVER
192381103,EEL RIVER 1103,,100,241646,DPD,EEL RIVER
192381103,EEL RIVER 1103,,100,987714,DPD,EEL RIVER
192381103,EEL RIVER 1103,,100,216324,DPD,EEL RIVER
192431108,HARRIS 1108,,100,395498,DPD,HARRIS
192431108,HARRIS 1108,,100,705523,DPD,HARRIS
192431109,HARRIS 1109,,100,183860,DPD,HARRIS
192431109,HARRIS 1109,,100,237791,DPD,HARRIS
192431109,HARRIS 1109,,100,661309,DPD,HARRIS
192431109,HARRIS 1109,,100,355914,DPD,HARRIS
192401101,HOOPA 1101,,100,37202,DPD,HOOPA
192341102,HUMBOLDT BAY 1102,,100,741980,DPD,HUMBOLDT BAY
192341102,HUMBOLDT BAY 1102,,100,104220,DPD,HUMBOLDT BAY
192101101,MAPLE CREEK 1101,,100,555034,DPD,MAPLE CREEK
192151131,NEWBURG 1131,,100,380686,DPD,NEWBURG
192151131,NEWBURG 1131,,100,557468,DPD,NEWBURG
192151131,NEWBURG 1131,,100,987158,DPD,NEWBURG
192151131,NEWBURG 1131,,100,90242,DPD,NEWBURG
192151132,NEWBURG 1132,,100,910230,DPD,NEWBURG
192151132,NEWBURG 1132,,100,665674,DPD,NEWBURG
192151133,NEWBURG 1133,,100,,Breaker,NEWBURG
192381102,EEL RIVER 1102,,105,4814,DPD,EEL RIVER
192311141,FRUITLAND 1141,,105,,Breaker,FRUITLAND
192311142,FRUITLAND 1142,,105,,Breaker,FRUITLAND
192221101,GARBERVILLE 1101,,105,,Breaker,GARBERVILLE
192221102,GARBERVILLE 1102,,105,,Breaker,GARBERVILLE
192221103,GARBERVILLE 1103,,105,,Breaker,GARBERVILLE
192251102,RIO DELL 1102,,105,772210,DPD,RIO DELL
192251102,RIO DELL 1102,,105,214052,DPD,RIO DELL
192251102,RIO DELL 1102,,105,8852,DPD,RIO DELL
192401101,HOOPA 1101,,112,3174,DPD,HOOPA
192401101,HOOPA 1101,,113,,Breaker,HOOPA
