FIA,Circuit name,Circuit ID,Source Is.D,Source Is.D Type,Substation,Comments,Validation result,Error message
100,ARCATA 1121,192021121,716954,DPD,ARCATA,,TRUE,
100,ARCATA 1122,192021122,5384,DPD,ARCATA,,TRUE,
100,ARCATA 1122,192021122,110996,DPD,ARCATA,,TRUE,
100,CARLOTTA 1121,192291121,,Breaker,CARLOTTA,,TRUE,
100,EEL RIVER 1102,192381102,1902,DPD,EEL RIVER,,TRUE,
100,EEL RIVER 1102,192381102,630456,DPD,EEL RIVER,,TRUE,
100,EEL RIVER 1102,192381102,720639,DPD,EEL RIVER,,TRUE,
100,EEL RIVER 1103,192381103,241646,DPD,EEL RIVER,,TRUE,
100,EEL RIVER 1103,192381103,987714,DPD,EEL RIVER,,TRUE,
100,EEL RIVER 1103,192381103,216324,DPD,EEL RIVER,,TRUE,
100,HARRIS 1108,192431108,395498,DPD,HARRIS,,TRUE,
100,HARRIS 1108,192431108,705523,DPD,HARRIS,,TRUE,
100,HARRIS 1109,192431109,183860,DPD,HARRIS,,TRUE,
100,HARRIS 1109,192431109,237791,DPD,HARRIS,,TRUE,
100,HARRIS 1109,192431109,661309,DPD,HARRIS,,TRUE,
100,HARRIS 1109,192431109,355914,DPD,HARRIS,,TRUE,
100,HOOPA 1101,192401101,37202,DPD,HOOPA,,TRUE,
100,HUMBOLDT BAY 1102,192341102,741980,DPD,HUMBOLDT BAY,,TRUE,
100,HUMBOLDT BAY 1102,192341102,104220,DPD,HUMBOLDT BAY,,TRUE,
100,MAPLE CREEK 1101,192101101,555034,DPD,MAPLE CREEK,,TRUE,
100,NEWBURG 1131,192151131,380686,DPD,NEWBURG,,TRUE,
100,NEWBURG 1131,192151131,557468,DPD,NEWBURG,,TRUE,
100,NEWBURG 1131,192151131,987158,DPD,NEWBURG,,TRUE,
100,NEWBURG 1131,192151131,90242,DPD,NEWBURG,,TRUE,
100,NEWBURG 1132,192151132,910230,DPD,NEWBURG,,TRUE,
100,NEWBURG 1132,192151132,665674,DPD,NEWBURG,,TRUE,
100,NEWBURG 1133,192151133,,Breaker,NEWBURG,,TRUE,
105,EEL RIVER 1102,192381102,4814,DPD,EEL RIVER,,TRUE,
105,FRUITLAND 1141,192311141,,Breaker,FRUITLAND,,TRUE,
105,FRUITLAND 1142,192311142,,Breaker,FRUITLAND,,TRUE,
105,GARBERVILLE 1101,192221101,,Breaker,GARBERVILLE,,TRUE,
105,GARBERVILLE 1102,192221102,,Breaker,GARBERVILLE,,TRUE,
105,GARBERVILLE 1103,192221103,,Breaker,GARBERVILLE,,TRUE,
105,RIO DELL 1102,192251102,772210,DPD,RIO DELL,,TRUE,
105,RIO DELL 1102,192251102,214052,DPD,RIO DELL,,TRUE,
105,RIO DELL 1102,192251102,8852,DPD,RIO DELL,,TRUE,
112,HOOPA 1101,192401101,3174,DPD,HOOPA,,TRUE,
113,HOOPA 1101,192401101,,Breaker,HOOPA,,TRUE,
113,Willow Creek 1101,192171101,91926,DPD,Willow Creek,,TRUE,
115,MAPLE CREEK 1101,192101101,,Breaker,MAPLE CREEK,,TRUE,
115,WILLOW CREEK 1101,192171101,,Breaker,WILLOW CREEK,,TRUE,
115,WILLOW CREEK 1102,192171102,,Breaker,WILLOW CREEK,,TRUE,
115,WILLOW CREEK 1103,192171103,,Breaker,WILLOW CREEK,,TRUE,
120,BRIDGEVILLE 1101,192461101,,Breaker,BRIDGEVILLE,,TRUE,
120,BRIDGEVILLE 1102,192461102,,Breaker,BRIDGEVILLE,,TRUE,
120,FORT SEWARD 1121,192321121,,Breaker,FORT SEWARD,,TRUE,
120,FORT SEWARD 1122,192321122,,Breaker,FORT SEWARD,,TRUE,
130,FORT SEWARD 1121,192321121,1602,DPD,FORT SEWARD,,TRUE,
130,LOW GAP 1101,192411101,,Breaker,LOW GAP,,TRUE,
140,ANNAPOLIS 1101,42861101,,Breaker,ANNAPOLIS,,TRUE,
140,BIG RIVER 1101,43081101,,Breaker,BIG RIVER,,TRUE,
140,ELK 1101,42981101,,Breaker,ELK,,TRUE,
140,FORT BRAGG 1101,42761101,3100,DPD,FORT BRAGG,,TRUE,
140,FORT BRAGG 1102,42761102,,Breaker,FORT BRAGG,,TRUE,
140,FORT BRAGG 1103,42761103,284356,DPD,FORT BRAGG,,TRUE,
140,FORT BRAGG 1104,42761104,1316,DPD,FORT BRAGG,,TRUE,
140,FORT BRAGG 1104,42761104,4690,DPD,FORT BRAGG,,TRUE,
140,FORT BRAGG 1104,42761104,920850,DPD,FORT BRAGG,,TRUE,
140,GARCIA 0401,43040401,666,DPD,GARCIA,,TRUE,
140,GUALALA 1111,42841111,,Breaker,GUALALA,,TRUE,
140,GUALALA 1112,42841112,,Breaker,GUALALA,,TRUE,
140,PHILO 1102,42601102,1308,DPD,PHILO,,TRUE,
140,POINT ARENA 1101,43381101,,Breaker,POINT ARENA,,TRUE,
140,FORT ROSS 1121,42851121,,Breaker,FORT ROSS,,TRUE,
140,Mirabel 1101,42091101,298,DPD,Mirabel,,TRUE,
140,Molino 1102,42571102,658,DPD,Molino,,TRUE,
140,Molino 1102,42571102,104,DPD,Molino,,TRUE,
140,MONTE RIO 1111,42811111,,Breaker,MONTE RIO,,TRUE,
140,MONTE RIO 1112,42811112,,Breaker,MONTE RIO,,TRUE,
140,MONTE RIO 1113,42811113,,Breaker,MONTE RIO,,TRUE,
140,Salmon Creek 1101,43161101,37368,DPD,Salmon Creek,,TRUE,
150,GARBERVILLE 1101,192221101,1770,DPD,GARBERVILLE,,TRUE,
150,LAYTONVILLE 1101,42681101,,Breaker,LAYTONVILLE,,TRUE,
150,LAYTONVILLE 1102,42681102,,Breaker,LAYTONVILLE,,TRUE,
150,WILLITS 1103,42661103,37506,DPD,WILLITS,,TRUE,
154,CALISTOGA 1101,42711101,890,DPD,CALISTOGA,,TRUE,
154,CALPELLA 1101,43411101,154183,Switch,CALPELLA,,TRUE,
154,CALPELLA 1102,43411102,421412,DPD,CALPELLA,,TRUE,
154,CALPELLA 1102,43411102,379946,DPD,CALPELLA,,TRUE,
154,CALPELLA 1102,43411102,144510,DPD,CALPELLA,,TRUE,
154,CALPELLA 1102,43411102,127462,DPD,CALPELLA,,TRUE,
154,CALPELLA 1102,43411102,477890,DPD,CALPELLA,,TRUE,
154,CALPELLA 1102,43411102,708161,DPD,CALPELLA,,TRUE,
154,HOPLAND 1101,42251101,,Breaker,HOPLAND,,TRUE,
154,MENDOCINO 1101,42951101,,Breaker,MENDOCINO,,TRUE,
154,POTTER VALLEY P H 1104,42281104,,Breaker,POTTER VALLEY P H,,TRUE,
154,POTTER VALLEY P H 1105,42281105,,Breaker,POTTER VALLEY P H,,TRUE,
154,UKIAH 1111,42771111,807988,DPD,UKIAH,,TRUE,
154,UKIAH 1111,42771111,168892,DPD,UKIAH,,TRUE,
